sale_id,product_id,color,quantity,sale_date,sale_amount
S0000001,P0001,ベージュ,2,2025-04-03,20728
S0000002,P0001,ネイビー,1,2025-04-04,10364
S0000003,P0001,ネイビー,1,2025-04-08,10364
S0000004,P0001,ベージュ,1,2025-04-14,10364
S0000005,P0001,ベージュ,1,2025-04-16,10364
S0000006,P0001,カーキ,3,2025-04-17,31092
S0000007,P0001,ベージュ,1,2025-04-21,10364
S0000008,P0001,ネイビー,1,2025-04-23,10364
S0000009,P0001,グレー,1,2025-04-23,10364
S0000010,P0001,ベージュ,1,2025-04-23,10364
S0000011,P0001,グレー,1,2025-04-24,10364
S0000012,P0001,グレー,1,2025-04-29,10364
S0000013,P0001,ベージュ,1,2025-04-29,10364
S0000014,P0001,カーキ,1,2025-04-30,10364
S0000015,P0001,ネイビー,1,2025-04-30,10364
S0000016,P0001,ネイビー,1,2025-05-02,10364
S0000017,P0001,ベージュ,1,2025-05-03,10364
S0000018,P0001,ネイビー,1,2025-05-04,10364
S0000019,P0001,ベージュ,1,2025-05-04,10364
S0000020,P0001,ベージュ,1,2025-05-05,10364
S0000021,P0001,ベージュ,1,2025-05-08,10364
S0000022,P0001,グレー,1,2025-05-10,10364
S0000023,P0001,カーキ,1,2025-05-12,10364
S0000024,P0001,ネイビー,1,2025-05-12,10364
S0000025,P0001,ベージュ,1,2025-05-12,10364
S0000026,P0001,グレー,1,2025-05-14,10364
S0000027,P0001,ベージュ,1,2025-05-17,10364
S0000028,P0001,カーキ,1,2025-05-19,10364
S0000029,P0001,ネイビー,1,2025-05-20,10364
S0000030,P0001,ネイビー,1,2025-05-23,10364
S0000031,P0001,グレー,1,2025-05-23,10364
S0000032,P0001,ベージュ,1,2025-05-23,10364
S0000033,P0001,ネイビー,1,2025-05-24,10364
S0000034,P0001,グレー,1,2025-05-24,10364
S0000035,P0001,ネイビー,1,2025-05-31,10364
S0000036,P0001,グレー,1,2025-06-05,10364
S0000037,P0001,ネイビー,1,2025-06-06,10364
S0000038,P0001,カーキ,1,2025-06-07,10364
S0000039,P0001,ベージュ,1,2025-06-07,10364
S0000040,P0001,ネイビー,1,2025-06-08,10364
S0000041,P0001,グレー,1,2025-06-08,10364
S0000042,P0001,ベージュ,1,2025-06-08,10364
S0000043,P0001,カーキ,1,2025-06-09,10364
S0000044,P0001,グレー,1,2025-06-09,10364
S0000045,P0001,ベージュ,1,2025-06-11,10364
S0000046,P0001,ネイビー,1,2025-06-14,10364
S0000047,P0001,グレー,1,2025-06-15,10364
S0000048,P0001,ベージュ,1,2025-06-17,10364
S0000049,P0001,ベージュ,1,2025-06-18,10364
S0000050,P0001,ネイビー,1,2025-06-19,10364
S0000051,P0001,グレー,1,2025-06-20,10364
S0000052,P0001,ネイビー,1,2025-06-24,10364
S0000053,P0001,グレー,1,2025-06-24,10364
S0000054,P0001,ネイビー,1,2025-06-28,10364
S0000055,P0001,ベージュ,1,2025-06-28,10364
S0000056,P0001,ベージュ,1,2025-06-29,10364
S0000057,P0001,ネイビー,1,2025-07-01,10364
S0000058,P0001,ベージュ,1,2025-07-01,10364
S0000059,P0001,ネイビー,1,2025-07-07,10364
S0000060,P0001,ベージュ,2,2025-07-07,20728
S0000061,P0001,カーキ,1,2025-07-13,10364
S0000062,P0001,ネイビー,1,2025-07-13,10364
S0000063,P0001,グレー,1,2025-07-18,10364
S0000064,P0001,カーキ,1,2025-07-21,10364
